Question Number,Lesson,Question,Choice A,Choice B,Choice C,Choice D,Correct Answer
1,Lesson 1: Your First Python Program,What is the purpose of the print() function in Python?,To format text with different fonts,To display output to the screen,To save data to a file,To get input from the user,B
2,Lesson 1: Your First Python Program,Which code will successfully print the text: It's Friday?,print(It's Friday),print('It's Friday'),"print(""It's Friday"")","Print(""It's Friday"")",C
3,Lesson 1: Your First Python Program,What symbol is used to create a comment in Python?,//,#,/*,--,B
4,Lesson 1: Your First Python Program,"What error will occur when running this code: Print(""Hello"")?",SyntaxError due to missing quotes,NameError because Print is not defined,IndentationError,"No error, the code will run fine",B
5,Lesson 1: Your First Python Program,"What will be the output of this code: print(""Python"")?","""Python"" (with quotes)",Python (without quotes),PYTHON,python,B
6,Lesson 2: How Python Code Gets Executed,What is the Python interpreter?,A tool that converts Python code to English,A program that translates Python code into computer instructions and executes it,A text editor for writing Python code,A debugging tool for finding errors,B
7,Lesson 2: How Python Code Gets Executed,How does Python execute code in a program?,"All at once, simultaneously",From bottom to top,Line by line from top to bottom,Randomly,C
8,Lesson 2: How Python Code Gets Executed,"What will be the output of this code?
print(""Hello"")
print(""World"")",HelloWorld (on one line),Hello World (on one line with space),"Hello on one line, World on the next line","World on one line, Hello on the next line",C
9,Lesson 2: How Python Code Gets Executed,What is ASCII art?,Professional digital artwork,Text-based art created using characters and symbols,A type of Python function,A painting technique,B
10,Lesson 3: Variables,What is a variable in Python?,A number that never changes,A container that stores a value with a name,A type of function,A mathematical operation,B
11,Lesson 3: Variables,Which data type represents a whole number without a decimal point?,Float,String,Integer,Boolean,C
12,Lesson 3: Variables,Which variable name follows Python naming conventions?,player name,2player,player_name,player-name,C
13,Lesson 3: Variables,"What will be printed by this code?
x = 5
x = 10
print(x)",5,10,5 10,Error,B
14,Lesson 3: Variables,What data type is 3.14?,Integer,Float,String,Boolean,B
15,Lesson 3: Variables,Which code correctly creates a boolean variable?,is_new = true,"is_new = ""True""",is_new = True,is_new = TRUE,C
16,Lesson 4: Receiving Input,What does the input() function do?,Displays output to the screen,Prompts the user for input and returns what they type,Performs mathematical calculations,Creates variables automatically,B
17,Lesson 4: Receiving Input,What data type does input() always return?,Integer,Float,String,Boolean,C
18,Lesson 4: Receiving Input,What is string concatenation?,Converting strings to numbers,Joining strings together using the + operator,Splitting strings apart,Comparing two strings,B
19,Lesson 4: Receiving Input,"What will be displayed if the user types ""Sarah""?
name = input(""Name? "")
print(""Welcome "" + name + ""!"")",Welcome Sarah,Welcome Sarah!,WelcomeSarah!,Welcome name!,B
20,Lesson 4: Receiving Input,Which code correctly stores user input in a variable?,"input(""Name? "") = name","name = input ""Name? ""","name = input(""Name? "")","name input(""Name? "")",C
21,Lesson 5: Type Conversion,What data type does the input() function ALWAYS return in Python?,Integer (whole number),Float (decimal number),String (text),Boolean (True/False),C
22,Lesson 5: Type Conversion,What does the int() function do?,Converts a value to a whole number,Converts a value to a decimal number,Converts a value to text,Gets user input,A
23,Lesson 5: Type Conversion,"What will this code output?
birth_year = input(""Birth year: "")
print(type(birth_year))",<class 'str'>,<class 'int'>,<class 'float'>,Birth year:,A
24,Lesson 5: Type Conversion,"This code produces a TypeError. How do you fix it?
birth_year = input(""Birth year: "")
age = 2024 - birth_year
print(age)",Change line 2 to: age = 2024 - int(birth_year),"Change line 2 to: age = ""2024"" - birth_year",Change line 3 to: print(str(age)),"Add quotation marks: birth_year = ""input""(""Birth year: "")",A
25,Lesson 5: Type Conversion,"For a Fahrenheit to Celsius converter (formula: (F - 32) * 5/9), which type conversion should you use?",float() - because the result will have decimals,int() - because temperature is always a whole number,str() - because temperature is text,No conversion needed,A
26,Lesson 5: Type Conversion,What does int(3.7) return?,3 (truncates the decimal),4 (rounds up),3.0 (keeps one decimal),"""3.7"" (converts to string)",A
27,Lesson 5: Type Conversion,You can combine input() and conversion in one line. Which is correct?,"age = int(input(""Age: ""))","age = input(int(""Age: ""))","age = input + int(""Age: "")","age = ""int(input(""Age: ""))""",A
28,Lesson 5: Type Conversion,Can you do math operations (like addition or subtraction) between strings and numbers without converting them first?,"Yes, Python automatically converts them","No, you'll get a TypeError",Only with addition,Only with multiplication,B
29,Lesson 6: Strings,What is a string in Python?,A sequence of characters enclosed in quotes,A number with a decimal point,A variable that holds integers,A type of list,A
30,Lesson 6: Strings,"What does this code print?
name = ""python""
print(name.upper())",PYTHON,python,Python,pYTHON,A
31,Lesson 6: Strings,"What does this code print?
team = ""FOOTBALL""
print(team[4:8])",BALL,FOOT,OTBA,TBAL,A
32,Lesson 6: Strings,"What does this code print?
word = ""TOUCHDOWN""
print(word[-3])",W,O,D,N,A
33,Lesson 6: Strings,What does it mean that strings are immutable?,"Once created, strings cannot be changed; methods return new strings",Strings can be modified at any time,Strings cannot be printed,Strings are stored permanently in memory,A
